num_items,has_electronics,state,order_total,avg_item_price,will_reorder
1,1,KS,1244.53,1244.53,1
5,0,OH,975.32,195.06,1
4,0,MN,140.52,35.13,0
6,1,KS,995.9,165.98,1
6,1,OR,1371.79,228.63,1
1,1,IL,600.2,600.2,1
4,1,CO,1265.29,316.32,1
1,0,ND,504.08,504.08,0
6,0,ND,876.65,146.11,0
5,0,WA,990.22,198.04,0
2,0,SD,1033.09,516.54,0
6,0,NE,1329.7,221.62,0
3,0,MI,390.2,130.07,0
2,0,MN,430.44,215.22,0
6,1,NE,1070.86,178.48,1
5,1,TX,306.93,61.39,1
1,1,IN,723.19,723.19,1
2,1,KS,79.05,39.52,0
5,1,OR,254.42,50.88,1
4,1,OH,1034.33,258.58,1
3,1,MA,1133.82,377.94,1
2,1,MN,217.21,108.6,0
1,1,MI,380.18,380.18,1
4,1,WA,193.41,48.35,0
5,0,CA,678.45,135.69,1
3,0,IL,232.87,77.62,1
1,0,IL,684.08,684.08,1
5,0,IN,1111.54,222.31,0
5,0,MA,1040.91,208.18,1
2,0,TN,456.67,228.34,0
2,0,OH,1026.96,513.48,1
1,0,AZ,1395.18,1395.18,0
6,1,TX,553.91,92.32,1
6,0,KS,527.22,87.87,0
5,1,OH,878.59,175.72,1
2,1,FL,405.98,202.99,1
3,0,FL,994.79,331.6,1
3,1,IN,1256.78,418.93,1
5,0,NE,716.01,143.2,0
2,0,KS,1035.29,517.64,0
1,0,MN,995.23,995.23,0
1,0,KS,106.07,106.07,0
1,0,CO,315.95,315.95,0
3,0,OH,1345.62,448.54,1
2,0,OH,1411.39,705.7,1
2,0,WA,1181.64,590.82,0
3,0,MA,1385.81,461.94,0
1,1,MI,493.92,493.92,1
1,0,KS,409.18,409.18,0
5,0,AZ,607.24,121.45,0
6,0,CO,130.25,21.71,0
4,0,OH,1224.31,306.08,1
6,0,TX,1477.05,246.18,1
2,1,AZ,1244.84,622.42,0
2,0,IN,854.71,427.36,0
2,1,IN,478.16,239.08,1
6,1,NE,336.66,56.11,0
4,0,OH,577.89,144.47,1
5,0,OH,1017.11,203.42,1
6,1,SD,698.24,116.37,0
4,1,TN,1404.39,351.1,1
1,0,ND,1288.62,1288.62,0
1,1,IL,198.48,198.48,1
2,1,FL,240.71,120.36,1
3,0,CO,1030.55,343.52,0
2,1,WA,384.61,192.3,0
3,0,SD,1196.99,399.0,0
4,0,MI,907.47,226.87,1
1,1,TX,383.25,383.25,1
6,1,OR,744.1,124.02,1
3,0,SD,638.81,212.94,0
4,0,AZ,1316.08,329.02,0
1,1,CO,96.64,96.64,1
6,1,TN,1348.97,224.83,1
3,1,ND,995.52,331.84,1
2,1,NE,1119.43,559.72,0
2,1,MN,53.78,26.89,1
2,0,TN,960.95,480.48,1
4,0,MA,903.3,225.82,0
2,0,IN,828.95,414.48,1
5,1,NE,1189.51,237.9,1
1,1,MA,856.01,856.01,1
4,0,FL,1292.79,323.2,1
6,0,MA,387.32,64.55,1
2,0,WA,1218.67,609.34,0
1,0,IL,310.0,310.0,0
3,0,MI,1229.02,409.67,1
2,0,FL,1413.67,706.84,1
1,0,TX,536.76,536.76,1
5,0,MI,818.34,163.67,1
3,0,AZ,1004.58,334.86,0
5,0,OH,165.23,33.05,1
6,1,TN,766.42,127.74,1
1,0,OH,572.85,572.85,1
5,1,OR,1315.06,263.01,1
6,1,CO,1321.19,220.2,1
1,0,IN,1066.13,1066.13,0
1,0,WA,1000.8,1000.8,0
5,1,IL,1113.85,222.77,1
1,1,SD,580.68,580.68,0
2,1,CA,636.55,318.27,1
1,1,MN,852.87,852.87,1
4,0,WA,1410.14,352.54,0
6,0,OH,1099.8,183.3,1
1,0,IL,848.93,848.93,1
4,0,AZ,1167.1,291.77,0
1,0,AZ,587.79,587.79,0
1,1,WA,1109.18,1109.18,0
5,0,SD,645.48,129.1,0
2,0,TX,455.51,227.76,1
6,1,ND,934.1,155.68,1
2,1,TX,1045.97,522.98,1
3,0,OH,715.98,238.66,1
5,1,AZ,869.98,174.0,1
5,1,CA,1056.4,211.28,1
2,0,MI,1163.18,581.59,0
5,0,CO,1348.58,269.72,1
2,0,AZ,564.09,282.04,0
5,0,TN,1429.64,285.93,1
1,0,IN,974.06,974.06,0
2,1,TX,1192.17,596.08,1
2,1,IL,1064.67,532.34,1
4,1,IL,348.08,87.02,1
5,1,IN,153.59,30.72,1
5,1,CO,1103.12,220.62,1
2,0,IL,791.03,395.52,1
1,0,IL,1068.21,1068.21,1
1,1,MN,741.42,741.42,1
6,0,MN,502.74,83.79,1
1,0,TX,463.28,463.28,1
5,1,OR,1109.27,221.85,1
4,1,MI,451.33,112.83,1
2,0,OR,1086.28,543.14,0
3,1,AZ,606.74,202.25,0
4,0,OH,1167.8,291.95,1
3,1,OH,257.07,85.69,1
4,0,FL,347.22,86.8,1
1,1,AZ,1044.57,1044.57,0
5,0,TX,862.34,172.47,1
3,1,MA,345.62,115.21,1
4,0,CA,1359.1,339.78,1
5,0,MA,450.12,90.02,0
3,0,KS,660.55,220.18,0
2,0,CA,343.32,171.66,1
4,0,CO,612.64,153.16,0
2,0,WA,762.89,381.44,0
1,1,NE,478.11,478.11,0
2,1,AZ,1165.19,582.6,1
2,0,NE,621.2,310.6,0
6,1,IL,1107.79,184.63,1
4,0,TX,350.25,87.56,1
1,0,TN,596.7,596.7,0
2,0,SD,61.68,30.84,0
5,0,SD,1150.02,230.0,0
3,0,IL,957.54,319.18,1
2,1,OR,1235.84,617.92,1
1,0,CA,710.64,710.64,1
2,0,ND,1209.62,604.81,0
3,0,KS,988.99,329.66,0
1,1,IN,55.24,55.24,1
4,1,CA,417.86,104.46,1
1,1,IN,766.14,766.14,1
4,1,WA,947.1,236.78,1
1,1,CA,145.11,145.11,1
3,1,WA,1072.37,357.46,0
3,0,SD,838.13,279.38,0
1,1,CA,812.38,812.38,1
2,0,IN,473.47,236.74,0
3,1,AZ,912.49,304.16,1
4,1,SD,89.86,22.46,0
4,1,MN,143.82,35.96,1
5,0,TX,1114.11,222.82,1
6,1,IL,516.74,86.12,1
6,1,FL,553.1,92.18,1
6,0,MN,352.16,58.69,1
4,0,TX,696.15,174.04,1
5,1,MN,125.39,25.08,1
6,1,TX,485.53,80.92,1
6,0,IL,814.33,135.72,1
1,0,CA,725.17,725.17,0
1,0,IN,1499.52,1499.52,0
1,0,CA,613.71,613.71,0
2,1,OH,611.15,305.58,1
6,1,ND,780.19,130.03,1
2,1,ND,325.94,162.97,1
5,0,TN,1320.64,264.13,1
4,1,ND,879.79,219.95,0
6,0,SD,328.56,54.76,0
4,0,TN,1200.49,300.12,0
1,0,ND,99.78,99.78,0
6,0,TN,1474.72,245.79,1
3,0,MA,1304.47,434.82,0
2,0,FL,890.48,445.24,1
2,0,MA,211.38,105.69,0
6,0,FL,362.15,60.36,1
1,1,CO,455.18,455.18,0
2,0,CO,399.5,199.75,0
1,1,WA,771.4,771.4,0
5,0,IL,1419.61,283.92,1
4,1,WA,694.05,173.51,1
3,1,MN,1009.27,336.42,1
4,1,IN,1048.45,262.11,1
4,1,AZ,1313.79,328.45,1
5,0,IL,99.04,19.81,1
2,0,MI,636.28,318.14,0
3,0,NE,1187.87,395.96,0
2,0,OR,1231.56,615.78,1
6,0,CA,1394.63,232.44,1
4,1,TX,1069.05,267.26,1
6,0,OR,405.47,67.58,1
1,1,OH,783.22,783.22,1
4,1,MI,96.9,24.22,1
2,1,SD,988.05,494.02,1
4,1,SD,853.73,213.43,0
1,1,ND,1016.91,1016.91,0
5,0,TN,1398.7,279.74,0
6,0,TX,1046.55,174.42,1
6,1,FL,514.65,85.78,1
2,1,AZ,338.17,169.08,0
4,1,MA,1289.22,322.3,1
2,0,TX,331.78,165.89,1
5,1,CO,284.33,56.87,1
4,0,SD,349.59,87.4,0
4,0,SD,787.82,196.96,0
2,0,OR,230.07,115.04,0
2,0,OR,1410.27,705.14,1
1,0,CA,1451.07,1451.07,1
5,0,OH,1462.01,292.4,1
1,0,OR,106.73,106.73,0
6,0,KS,1421.99,237.0,0
4,1,CO,1496.25,374.06,1
2,1,SD,1416.52,708.26,1
4,0,OR,1022.86,255.72,0
4,0,ND,1066.78,266.7,0
3,1,SD,227.27,75.76,0
6,0,OH,1317.73,219.62,1
3,0,WA,136.48,45.49,0
4,1,IN,510.71,127.68,1
2,1,CO,1487.17,743.58,1
4,0,SD,662.38,165.6,0
6,0,IL,240.18,40.03,1
3,0,MN,1455.48,485.16,1
2,0,KS,1477.0,738.5,0
4,0,TX,321.21,80.3,1
5,0,KS,1303.97,260.79,0
6,0,NE,616.11,102.68,0
6,1,TX,602.98,100.5,1
5,1,OH,430.91,86.18,1
4,1,FL,114.83,28.71,1
6,1,MN,438.61,73.1,1
2,0,CO,127.98,63.99,0
4,1,MI,1390.34,347.58,1
4,0,OH,1009.49,252.37,1
3,0,WA,1335.6,445.2,0
6,1,SD,1090.07,181.68,1
6,1,FL,240.37,40.06,1
5,1,SD,1413.84,282.77,1
3,0,CA,1354.84,451.61,1
3,1,SD,554.71,184.9,0
6,1,MA,211.72,35.29,1
4,0,MA,1071.02,267.76,0
3,0,TX,1106.12,368.71,1
5,0,NE,1350.4,270.08,0
3,1,MN,126.35,42.12,1
5,0,MI,255.47,51.09,1
3,0,IL,917.46,305.82,1
5,0,IN,947.74,189.55,1
3,0,CA,98.73,32.91,1
3,1,OH,625.55,208.52,1
2,0,IN,897.03,448.52,0
5,1,IL,1119.97,223.99,1
5,1,AZ,508.42,101.68,1
5,1,IN,751.66,150.33,1
1,0,IN,1230.38,1230.38,1
3,0,TN,1433.15,477.72,0
5,0,FL,383.96,76.79,1
6,0,ND,416.91,69.48,0
1,0,MI,1412.74,1412.74,0
2,1,CO,624.07,312.04,1
5,0,MA,1091.61,218.32,1
5,0,IL,937.78,187.56,1
1,0,FL,464.1,464.1,0
3,0,IN,997.67,332.56,1
6,1,CA,1000.57,166.76,1
2,0,ND,909.04,454.52,0
5,0,FL,194.51,38.9,1
3,1,SD,1493.0,497.67,1
6,0,IN,630.6,105.1,1
6,0,TX,975.46,162.58,1
2,0,IN,1334.35,667.18,0
4,0,CA,663.77,165.94,1
6,0,SD,1172.19,195.36,0
4,0,ND,1459.15,364.79,0
6,1,MA,570.46,95.08,1
2,0,OH,637.64,318.82,1
1,1,NE,1363.09,1363.09,0
2,1,IL,281.48,140.74,1
2,0,IN,91.46,45.73,0
1,0,FL,1367.89,1367.89,1
1,0,AZ,1241.31,1241.31,0
3,1,TX,1460.25,486.75,1
6,1,NE,134.44,22.41,0
3,1,SD,276.46,92.15,0
1,0,AZ,202.7,202.7,0
4,1,OR,1040.95,260.24,1
4,0,IN,928.71,232.18,0
2,0,IL,571.04,285.52,1
5,0,ND,133.26,26.65,0
2,0,FL,977.51,488.76,1
2,0,OH,876.67,438.34,1
5,1,ND,213.71,42.74,0
6,1,CO,1367.92,227.99,1
1,1,AZ,338.48,338.48,0
4,0,IN,1128.09,282.02,0
2,1,WA,1333.36,666.68,1
5,0,MN,890.24,178.05,1
3,0,IL,407.93,135.98,1
2,0,MN,498.41,249.2,0
4,0,NE,1334.33,333.58,0
1,0,CA,482.47,482.47,1
2,0,OH,1131.98,565.99,1
2,0,MA,1485.74,742.87,0
6,1,CA,1499.73,249.96,1
5,0,AZ,823.55,164.71,0
3,1,IL,1248.51,416.17,1
3,1,MI,1485.86,495.29,1
1,0,TX,593.28,593.28,0
4,1,MI,415.99,104.0,1
1,0,ND,215.64,215.64,0
2,1,SD,254.3,127.15,0
2,0,IN,1287.66,643.83,0
3,1,CO,903.65,301.22,1
4,1,TX,1316.88,329.22,1
5,1,IL,1194.71,238.94,1
4,1,NE,1026.93,256.73,1
2,0,WA,933.5,466.75,0
5,0,OR,120.09,24.02,1
4,0,ND,1314.8,328.7,0
4,0,MI,655.87,163.97,1
5,0,CA,861.69,172.34,1
2,1,NE,81.83,40.92,0
4,0,CO,1407.31,351.83,1
5,1,CO,1358.97,271.79,1
6,1,AZ,837.75,139.62,0
6,0,MA,887.1,147.85,0
2,1,MA,1072.27,536.14,1
5,0,ND,433.81,86.76,0
6,1,MI,371.78,61.96,1
5,0,IL,1027.33,205.47,1
4,0,OR,201.41,50.35,0
2,0,CO,708.39,354.2,0
6,0,IL,764.5,127.42,1
4,0,IL,602.94,150.74,1
1,0,OR,318.64,318.64,0
1,0,FL,565.21,565.21,1
2,1,OH,539.46,269.73,1
6,0,MN,773.94,128.99,0
6,0,WA,1028.29,171.38,0
6,1,MA,1453.94,242.32,1
5,1,MA,259.04,51.81,1
4,1,KS,1315.87,328.97,0
